BIN LOCATION,SKU
A8-S1-S14,4MSS1221-03-M
A8-S1-S13,4MSO4566-04-38
A8-S1-S13,4MSO4564-01-32
A8-S1-S13,4MSO4566-04-38
A8-S1-S13,4MTP0045-04-36
A8-S1-S13,4MTP0045-04-38
A8-S1-S13,4MTP0045-04-36
A8-S1-S13,4MTP0045-04-38
A8-S1-S13,4MTP0019-04-34
A8-S1-S13,4MTP0019-04-34
A8-S1-S13,4MSO4564-01-30
A8-S1-S13,4MSO4564-01-30
A8-S1-S13,4MSO4564-01-32
A8-S1-S13,4MSO4665-02-36
A8-S1-S13,4MSO4665-02-36
A8-S1-S12,4MSR5195-03-36
A8-S1-S12,4MSR5316-01-36
A8-S1-S12,4MSR5102-04-38
A8-S1-S12,4MSR5316-01-36
A8-S1-S12,4MSR5195-03-36
A8-S1-S12,4MSR5081-03-30
A8-S1-S12,4MSR5013-03-34
A8-S1-S12,4MSR5081-03-30
A8-S1-S12,4MSR5013-03-36
A8-S1-S12,4MSR5290-01-34
A8-S1-S12,4MSR5081-02-36
A8-S1-S12,4MSR5102-04-38
A8-S1-S12,4MSR5081-02-36
A8-S1-S12,4MSR5290-01-36
A8-S1-S12,4MSR5290-01-36
A8-S1-S12,4MSR5290-01-34
A8-S1-S11,4MST2051-05-L
A8-S1-S11,4MST2021-11-S
A8-S1-S11,4MST2379-01-S
A8-S1-S11,4MST0217-09-L
A8-S1-S11,4MST2051-05-M
A8-S1-S11,4MST2379-01-XXL
A8-S1-S11,4MST2673-02-XXL
A8-S1-S11,4MST2051-05-M
A8-S1-S11,4MST2571-05-XXL
A8-S1-S11,4MST2673-02-XXL
A8-S1-S11,4MST2021-11-S
A8-S1-S11,4MST2051-05-L
A8-S1-S11,4MST2520-02-XS
A8-S1-S11,4MST2450-05-L
A8-S1-S11,4MST2330-02-S
A8-S1-S11,4MST0218-03-XL
A8-S1-S11,4MST2574-04-L
A8-S1-S11,4MST2574-04-L
A8-S1-S11,4MST2574-04-XXL
A8-S1-S10,4MSS2193-01-M
A8-S1-S10,4MCR1005-01-XL
A8-S1-S10,4MSS1835-01-M
A8-S1-S10,4MSS3468-03-XL
A8-S1-S10,4MSS2469-02-XL
A8-S1-S10,4MSS3974-02-L
A8-S1-S10,4MSS2469-03-S
A8-S1-S10,4MCR1005-04-L
A8-S1-S10,4MSS3143-09-L
A8-S1-S10,4MSS1216-06-M
A8-S1-S10,4MSS3974-02-M
A8-S1-S9,4MCR1005-04-L
A8-S1-S9,4MSS3143-09-M
A8-S1-S9,4MSS2759-01-M
A8-S1-S9,4MSS3143-05-S
A8-S1-S9,4MSS4005-01-XL
A8-S1-S9,4MSS3027-05-L
A8-S1-S9,4MSS3143-09-M
A8-S1-S9,4MSS3974-02-L
A8-S1-S9,4MSS2193-03-XL
A8-S1-S9,4MSS2193-01-XL
A8-S1-S9,4MCR1005-04-M
A8-S1-S8,4MSS2625-01-S
A8-S1-S8,4MSS2625-01-S
A8-S1-S8,4MSS2625-03-M
A8-S1-S8,4MSS4005-01-XL
A8-S1-S8,4MSS2193-01-L
A8-S1-S8,4MSS2193-01-M
A8-S1-S8,4MSS1216-06-M
A8-S1-S8,4MSS1835-02-L
A8-S1-S8,4MCR1005-07-XS
A8-S1-S8,4MSS2193-01-XL
A8-S1-S8,4MSS3027-05-L
A8-S1-S7,4MSS2193-02-L
A8-S1-S7,4MSS2759-01-M
A8-S1-S7,4MLX1004-12-L
A8-S1-S7,4MCR1005-01-XL
A8-S1-S7,4MCR1005-01-S
A8-S1-S7,4MCR1005-01-S
A8-S1-S7,4MCR1005-04-M
A8-S1-S7,4MSS3143-05-S
A8-S1-S7,4MSS2193-06-XL
A8-S1-S7,4MLX1004-12-L
A8-S1-S7,4MSS4021-04-L
A8-S1-S6,4MSS4021-04-L
A8-S1-S6,4MSS2193-02-L
A8-S1-S6,4MSS3974-02-M
A8-S1-S6,4MSS1835-01-M
A8-S1-S6,4MSS2193-01-L
A8-S1-S6,4MSS2193-02-M
A8-S1-S6,4MSS2193-02-M
A8-S1-S6,4MSS2469-03-S
A8-S1-S6,4MSS3143-06-S
A8-S1-S6,4MSR5013-03-36
A8-S1-S6,4MSR5102-02-34
A8-S1-S6,4MSR5102-02-34
A8-S1-S6,4MSR5102-02-36
A8-S1-S5,4MSR5316-01-28
A8-S1-S5,4MSR5316-01-34
A8-S1-S5,4MSR5079-05-36
A8-S1-S5,4MSR5162-02-36
A8-S1-S5,4MSR5316-01-34
A8-S1-S5,4MSR5316-01-28
A8-S1-S5,4MSR5079-05-34
A8-S1-S5,4MSR5079-05-36
A8-S1-S5,4MSR5079-05-34
A8-S1-S5,4MSR5102-02-36
A8-S1-S5,4MSR5162-02-36
A8-S1-S5,4MSR5081-02-34
A8-S1-S4,4MST0217-01-L
A8-S1-S4,4MST2375-01-XL
A8-S1-S4,4MST2331-03-S
A8-S1-S4,4MST2499-01-XL
A8-S1-S4,4MST2499-01-XL
A8-S1-S4,4MST2331-03-S
A8-S1-S4,4MSO4516-01-30
A8-S1-S4,4MSD4024-03-36
A8-S1-S4,4MSD3639-03-36
A8-S1-S4,4MSD4024-03-38
A8-S2-S15,4MSD3639-01-30
A8-S2-S15,4MSD4024-03-36
A8-S2-S15,4MSD3639-03-36
A8-S2-S15,4MSD3639-03-34
A8-S2-S15,4MSD3695-03-30
A8-S2-S15,4MSD3819-01-32
A8-S2-S15,4MSD3819-01-32
A8-S2-S15,4MSD3639-03-34
A8-S2-S15,4MSD3695-03-30
A8-S2-S15,4MSD3639-01-30
A8-S2-S15,4MSD4024-03-38
A8-S2-S14,4MCR1007-01-XS
A8-S2-S14,4MCR1007-05-XL
A8-S2-S14,4MSS1725-01-L
A8-S2-S14,4MCR1007-05-XXL
A8-S2-S14,4MSS3294-02-S
A8-S2-S14,4MCR1007-06-XXL
A8-S2-S14,4MCR1007-06-XXL
A8-S2-S14,4MSS1725-01-XXL
A8-S2-S14,4MSS1725-02-L
A8-S2-S14,4MSS1725-02-L
A8-S2-S14,4MSS1216-06-XL
A8-S2-S14,4MCR1007-05-XXL
A8-S2-S14,4MCR1007-03-XXL
A8-S2-S14,4MCR1007-01-XS
A8-S2-S14,4MSS4050-06-M
A8-S2-S14,4MCR1007-03-XXL
A8-S2-S14,4MSS4050-06-S
A8-S2-S14,4MSS1842-05-XL
A8-S2-S14,4MSS3143-04-XL
A8-S2-S14,4MSS2759-02-L
A8-S2-S14,4MSS3103-01-XL
A8-S2-S14,4MSS3294-02-XL
A8-S3-B12,4MSS3103-01-XL
A8-S3-B12,4MSS2263-02-XXL
A8-S3-B12,4MCR1005-07-XS
A8-S3-B12,4MSS3916-03-L
A8-S3-B12,4MSS1842-05-L
A8-S3-B12,4MSS1216-06-XL
A8-S3-B12,4MSS1725-01-M
A8-S3-B12,4MSS1725-01-M
A8-S3-B12,4MSS1216-06-L
A8-S3-B12,4MSS1216-06-L
A8-S3-B12,4MSS1842-05-L
A8-S3-B11,4MSS1725-01-L
A8-S3-B11,4MSS3294-02-XL
A8-S3-B11,4MCR1007-01-XXL
A8-S3-B11,4MSS1725-02-XL
A8-S3-B11,4MSS2263-02-XXL
A8-S3-B11,4MSS1842-04-M
A8-S3-B11,4MSS2263-01-XXL
A8-S3-B11,4MSS2263-01-XXL
A8-S3-B11,4MSS3916-01-L
A8-S3-B11,4MSS3294-02-S
A8-S3-B11,4MSS4021-04-M
A8-S3-B10,4MSS4050-06-M
A8-S3-B10,4MSS1725-02-XL
A8-S3-B10,4MCR1007-05-XL
A8-S3-B10,4MSS1725-01-XXL
A8-S3-B10,4MCR1007-01-XXL
A8-S3-B10,4MSS3916-03-L
A8-S3-B10,4MSS4021-04-M
A8-S3-B10,4MSS3916-01-L
A8-S3-B10,4MSS1842-04-M
A8-S3-B10,4MSS1842-04-L
A8-S3-B10,4MSS1842-04-L
A8-S3-B10,4MST0218-03-L
A8-S3-B10,4MST2242-04-L
A8-S3-B10,4MST2242-04-L
A8-S3-B10,4MST2331-02-XL
A7-S1-B9,4MSO4581-01-38
A7-S1-B9,4MSO4581-01-36
A7-S1-B9,4MSO4581-01-38
A7-S1-B9,4MSO4593-04-34
A7-S1-B9,4MSO4581-01-36
A7-S1-B9,4MSO4593-04-34
A7-S1-B9,4MSO4593-04-32
A7-S1-B9,4MSO4593-04-32
A7-S1-B9,4MSR5316-06-30
A7-S1-B9,4MSR5013-03-34
A7-S1-B9,4MSR5081-02-34
A7-S1-B8,4MSD3637-01-36
A7-S1-B8,4MSD3695-02-38
A7-S1-B8,4MSD3695-02-38
A7-S1-B8,4MSD3667-06-34
A7-S1-B8,4MSD3667-06-34
A7-S1-B8,4MSD3637-01-38
A7-S1-B8,4MSD3637-01-38
A7-S1-B8,4MSD3637-01-36
A7-S1-B8,4MSR5316-06-30
A7-S1-B8,4MSR5162-02-38
A7-S1-B8,4MSR5162-02-38
A7-S1-B8,4MSR5316-06-32
A7-S1-B8,4MSR5316-06-32
A4-S5-B10,4MCR1005-07-XXL
A4-S5-B10,4MCR1005-07-S
A4-S5-B10,4MSS3387-08-L
A4-S5-B10,4MSS3468-02-L
A4-S5-B10,4MSS3468-02-L
A4-S5-B10,4MSS3387-08-M
A4-S5-B10,4MCR1005-07-XXL
A4-S5-B10,4MSS4021-03-M
A4-S5-B10,4MSS3387-08-L
A4-S5-B10,4MSS4021-03-L
A4-S5-B10,4MCR1005-07-XXL
A4-S5-B10,4MSS2007-01-XL
A4-S5-B9,4MSS2676-01-S
A4-S5-B9,4MSS2469-02-M
A4-S5-B9,4MSS2725-01-M
A4-S5-B9,4MSS4005-01-XXL
A4-S5-B9,4MSS2469-02-M
A4-S5-B9,4MSS2725-01-M
A4-S5-B9,4MSS1835-02-M
A4-S5-B9,4MSS4021-03-L
A4-S5-B9,4MSS2263-01-L
A4-S5-B9,4MSS2469-01-M
A4-S5-B9,4MSS1108-01-XXL
A4-S5-B9,4MSS2263-01-M
A4-S5-B8,4MSS1698-02-XXL
A4-S5-B8,4MSS3387-02-XXL
A4-S5-B8,4MSS2335-02-XXL
A4-S5-B8,4MSS3387-02-XXL
A4-S5-B8,4MSS2676-01-S
A4-S5-B8,4MSS2263-01-L
A4-S5-B8,4MSS2193-04-XL
A4-S5-B8,4MSS2193-04-S
A4-S5-B8,4MSS2193-04-XL
A4-S5-B8,4MSS2193-04-S
A4-S5-B8,4MSS2007-01-XL
A4-S5-B8,4MCR1005-07-S
A4-S5-B7,4MSS2263-01-M
A4-S5-B7,4MSS2725-01-L
A4-S5-B7,4MSS1698-02-XXL
A4-S5-B7,4MSS4005-01-XXL
A4-S5-B7,4MSS3387-08-M
A4-S5-B7,4MSS1842-05-XXL
A4-S5-B7,4MSS3143-06-M
A4-S5-B7,4MSS1835-02-M
A4-S5-B7,4MSS1842-05-XXL
A4-S5-B7,4MSS1842-04-XL
A4-S5-B7,4MST0217-05-S
A4-S5-B7,4MST2574-06-M
A4-S5-B6,4MST2574-06-M
A4-S5-B6,4MST2574-06-XS
A4-S5-B6,4MST2061-01-S
A4-S5-B6,4MST2450-02-M
A4-S5-B6,4MST2450-02-M
A4-S5-B6,4MST2076-02-M
A4-S5-B6,4MST2520-02-S
A4-S5-B6,4MST2076-02-M
A4-S5-B6,4MST2375-01-L
A4-S5-B6,4MST2375-01-L
A4-S5-B6,4MST2683-10-XS
A4-S5-B6,4MST2574-06-XS
A4-S5-B6,4MST2330-02-XXL
A4-S5-B6,4MST2020-01-XXL
A4-S5-B6,4MST0217-05-XXL
A4-S5-B5,4MST2020-01-XXL
A4-S5-B5,4MST2020-01-S
A4-S5-B5,4MST0217-09-M
A4-S5-B5,4MST2075-01-L
A4-S5-B5,4MST2075-01-L
A4-S5-B5,4MST0218-03-XXL
A4-S5-B5,4MST0217-05-S
A4-S5-B5,4MST2080-03-S
A4-S5-B5,4MST2660-01-XXL
A4-S5-B5,4MST2330-02-XXL
A4-S5-B5,4MST2574-06-XXL
A4-S5-B5,4MST2061-01-S
A4-S5-B5,4MST2075-01-XL
A4-S5-B5,4MST2574-04-XL
A4-S5-B5,4MST0226-01-S
A4-S5-B4,4MST2574-04-XL
A4-S5-B4,4MST2331-01-M
A4-S5-B4,4MST2331-01-M
A4-S5-B4,4MST2673-02-M
A4-S5-B4,4MST0218-03-XXL
A4-S5-B4,4MST2080-03-S
A4-S5-B4,4MST2673-02-M
A4-S5-B4,4MST2520-02-S
A4-S5-B4,4MST2020-01-S
A4-S5-B4,4MST0217-05-XXL
A4-S5-B4,4MST2660-01-XXL
A4-S5-B4,4MST2574-06-XXL
A4-S5-B4,4MST2075-01-XL
A4-S5-B4,4MST2683-10-XS
A4-S5-B4,4MST0217-09-M
A4-S5-B4,4MST2331-01-L
A4-S5-B4,4MST2331-01-L
A4-S5-B4,4MST0226-01-S
A3-S4-B9,4MSD3695-02-32
A3-S4-B9,4MSD3582-02-30
A3-S4-B9,4MSD3637-01-34
A3-S4-B9,4MSD3637-01-34
A3-S4-B9,4MSD3739-01-34
A3-S4-B9,4MSD3637-01-32
A3-S4-B9,4MSD3739-01-34
A3-S4-B9,4MSD3637-01-32
A3-S4-B9,4MSD3695-02-32
A3-S4-B9,4MSD3582-02-30
A3-S4-B8,4MSD3695-03-36
A3-S4-B8,4MSD3695-03-36
A3-S4-B8,4MSR5162-01-32
A3-S4-B8,4MSR5162-01-32
A3-S4-B8,4MSR5162-01-32
A3-S4-B8,4MSO4581-01-32
A8-S2-B4,4MSS3143-04-S
A8-S2-B4,4MSS3974-02-XL
A8-S2-B4,4MSS3062-08-L
A8-S2-B4,4MCR1005-04-XXL
A8-S2-B4,4MCR1005-04-XS
A8-S2-B4,4MSS2469-01-L
A8-S2-B4,4MSS1835-03-L
A8-S2-B4,4MSS1835-02-XXL
A8-S2-B4,4MSS1835-03-L
A8-S2-B4,4MSS3468-04-XS
A8-S2-B4,4MSS1842-04-XL
A8-S2-B4,4MSS2725-01-L
A8-S2-B4,4MSS3468-02-XL
A8-S2-B5,4MSS2335-02-XXL
A8-S2-B5,4MSS1835-03-M
A8-S2-B5,4MSS3143-09-XL
A8-S2-B5,4MSS4021-04-XXL
A8-S2-B5,4MSS3916-01-M
A8-S2-B5,4MSS3916-01-M
A8-S2-B5,4MSS3062-03-S
A8-S2-B5,4MSS1216-06-S
A8-S2-B5,4MSS3974-02-XL
A8-S2-B5,4MLX1004-12-M
A8-S2-B5,4MCR1005-04-XS
A8-S2-B5,4MCR1005-04-XXL
A8-S2-B6      ,4MSS1221-03-L
A8-S2-B6      ,4MLX1004-12-XS
A8-S2-B6      ,4MLX1004-12-XS
A8-S2-B6      ,4MSS3062-08-L
A8-S2-B6      ,4MLX1004-12-M
A8-S2-B6      ,4MSS2193-06-XXL
A8-S2-B6      ,4MSS2193-06-XXL
A8-S2-B6      ,4MSS2369-06-XXL
A8-S2-B6      ,4MSS3062-03-S
A8-S2-B6      ,4MSS3468-04-XS
A8-S2-B6      ,4MSS1216-06-S
A8-S2-B6      ,4MSS4021-04-XXL
A8-S2-B7     ,4MSS2469-01-M
A8-S2-B7     ,4MSS2369-06-XL
A8-S2-B7     ,4MSS2369-06-XXL
A8-S2-B7     ,4MSS2369-06-XL
A8-S2-B7     ,4MSS1835-02-XXL
A8-S2-B7     ,4MSS3143-09-XL
A8-S2-B7     ,4MSS2469-01-L
A8-S2-B7     ,4MSS1221-03-L
A8-S2-B7     ,4MSS3468-02-XL
A8-S2-B7     ,4MSS1835-03-M
A8-S2-B7     ,4MSS1108-01-XXL
A8-S2-B7     ,4MSS1835-03-XL
A8-S2-B8,4MSD3639-01-36
A8-S2-B8,4MSD3639-03-30
A8-S2-B8,4MSD3639-03-32
A8-S2-B8,4MSD3639-03-30
A8-S2-B8,4MSD4024-03-32
A8-S2-B8,4MSD4024-03-34
A8-S2-B8,4MST2228-01-XL
A8-S2-B8,4MST2021-11-XL
A8-S2-B8,4MST2331-03-XXL
A8-S2-B8,4MST2331-03-XXL
A8-S2-B9,4MSD3639-01-36
A8-S2-B9,4MSO4569-02-30
A8-S2-B9,4MSO4569-02-30
A8-S2-B9,4MSD4024-03-34
A8-S2-B9,4MSD4024-03-32
A8-S2-B9,4MSD3819-01-34
A8-S2-B9,4MSD3639-03-32
A8-S2-B9,4MSD3819-01-34
A8-S2-B9,4MSD3819-01-36
A8-S2-B9,4MSD3819-01-36
A8-S2-B9,4MSR5089-07-32
A8-S2-B9,4MSR5102-06-38
A8-S2-B9,4MSR5102-02-38
A8-S4-B4,4MSR5089-07-32
A8-S4-B4,4MSR5081-04-38
A8-S4-B4,4MSR5081-01-34
A8-S4-B4,4MSR5162-01-30
A8-S4-B4,4MSR5081-01-34
A8-S4-B4,4MSR5162-01-30
A8-S4-B4,4MSR5102-06-38
A8-S4-B4,4MSR5081-04-38
A8-S4-B4,4MSS2625-01-XL
A8-S4-B4,4MSS2625-03-S
A8-S4-B4,4MSS2625-03-S
A8-S4-B4,4MSS2625-01-XL
A8-S5-B4,4MST2450-02-XL
A8-S5-B4,4MST2275-05-XL
A8-S5-B4,4MST2275-05-XL
A8-S5-B4,4MST2331-02-XXL
A8-S5-B4,4MST2331-02-L
A8-S5-B4,4MST2531-01-XL
A8-S5-B4,4MST2531-01-XL
A8-S5-B4,4MST2707-08-S
A8-S5-B4,4MST2707-08-XS
A8-S5-B4,4MST2673-02-L
A8-S5-B4,4MST2673-02-L
A8-S5-B4,4MST2571-05-XS
A8-S5-B5,4MSS2335-03-XXL
A8-S5-B5,4MSS3468-03-M
A8-S5-B5,4MSS2335-03-XXL
A8-S5-B5,4MSS3468-03-M
A8-S5-B5,4MSS1835-03-XL
A8-S5-B5,4MSS3468-03-L
A8-S5-B5,4MSS2469-03-XL
A8-S5-B5,4MST2021-11-XL
A8-S5-B5,4MST2275-05-M
A8-S5-B5,4MST2275-05-M
A8-S5-B6,4MSS1221-03-XXL
A8-S5-B6,4MSS1221-03-XXL
A8-S5-B6,4MST2228-01-XL
A8-S5-B6,4MST2228-01-L
A8-S5-B6,4MST2673-02-XS
A8-S5-B6,4MST2673-02-XS
A8-S5-B6,4MST2450-02-XL
A8-S5-B6,4MST2331-02-XXL
A8-S5-B6,4MST2331-02-L
A8-S5-B6,4MST2707-08-S
A8-S5-B6,4MST2036-01-XL
A8-S5-B6,4MST2036-01-XL
A8-S5-B6,4MST2571-05-XS
A5-S5-B1,4MTP0019-04-36
A5-S5-B1,4MTP0045-04-32
A5-S5-B1,4MTP0045-04-32
A5-S5-B1,4MTP0045-04-34
A5-S5-B1,4MTP0045-04-34
A5-S5-B1,4MTP0045-01-30
A5-S5-B1,4MTP0045-01-30
A5-S5-B1,4MSR5290-01-28
A5-S5-B1,4MSR5081-04-36
A5-S5-B1,4MSR5195-03-32
A5-S5-B1,4MSR5081-02-32
A5-S5-B2,4MSO4516-01-32
A5-S5-B2,4MSO4516-01-32
A5-S5-B2,4MSO4564-04-30
A5-S5-B2,4MSO4566-04-36
A5-S5-B2,4MSO4665-02-28
A5-S5-B2,4MSO4566-04-36
A5-S5-B2,4MSO4535-02-28
A5-S5-B2,4MSO4566-04-34
A5-S5-B2,4MSO4535-02-28
A5-S5-B2,4MSO4566-04-34
A5-S5-B2,4MSR5089-07-30
A5-S5-B2,4MSR5089-07-30
A5-S5-B2,4MSR5013-03-38
A5-S5-B3,4MSR5102-06-36
A5-S5-B3,4MSR5102-06-36
A5-S5-B3,4MSR5195-03-34
A5-S5-B3,4MSR5290-01-38
A5-S5-B3,4MSR5081-02-32
A5-S5-B3,4MSR5081-01-32
A5-S5-B3,4MSR5013-03-38
A5-S5-B3,4MSO4665-02-28
A5-S5-B3,4MSR5290-01-28
A5-S5-B3,4MSR5290-01-38
A5-S5-B3,4MSR5081-01-32
A5-S4-S3,4MSO4516-01-34
A5-S4-S3,4MSO4516-01-34
A5-S4-S3,4MSR5102-01-38
A5-S4-S3,4MSR5102-01-38
A5-S4-S3,4MSR5195-03-34
A5-S4-S3,4MSR5195-03-32
A5-S4-S3,4MSO4564-04-30
A5-S4-S3,4MSO4564-04-32
A5-S4-S3,4MSO4564-04-32
,4MSO4516-01-30